0	2.51327
1	2.51327
2	2.51956
3	2.53841
4	2.54469
5	2.55097
6	2.56354
7	2.56982
8	2.57611
9	2.58239
10	2.58867
11	2.58867
12	2.59496
13	2.60124
14	2.60124
15	2.60752
16	2.61381
17	2.61381
18	2.61381
19	2.62009
20	2.61381
21	2.62009
22	2.62009
23	2.62009
24	2.62009
25	2.62009
26	2.62637
27	2.62637
28	2.62637
29	2.62637
30	2.62637
31	2.62637
32	2.62637
33	2.62637
34	2.63265
35	2.62637
36	2.63265
37	2.63265
38	2.62637
39	2.62637
40	2.63265
41	2.62637
42	2.62637
43	2.62637
44	2.62009
45	2.62637
46	2.62009
47	2.62009
48	2.62009
49	2.62009
50	2.61381
51	2.61381
52	2.61381
53	2.61381
54	2.60752
55	2.60124
56	2.60124
57	2.59496
58	2.59496
59	2.58867
60	2.58867
61	2.57611
62	2.56982
63	2.56354
64	2.55726
65	2.55097
66	2.53841
67	2.52584
68	2.51327
69	2.51327
70	2.50699
71	2.50699
72	2.46929
73	2.46301
74	2.46301
75	2.46301
76	2.46301
77	2.46301
78	2.46301
79	2.46301
80	2.46301
81	2.46301
82	2.46301
83	2.46301
84	2.46301
85	2.46301
86	2.46301
87	2.46301
88	2.46301
89	2.46301
90	2.46301
91	2.46301
92	2.46301
93	2.46301
94	2.46301
95	2.46301
96	2.46301
97	2.46301
98	2.50699
99	2.50699
